aeg [s]	 asukoht [m]	 kiirus [km/h]	 kiirusepiirang [km/h]
420	234.23789024697626	9.999692982130096	10
421	234.51565949647988	9.999686919121633	10
422	234.7934285775666	9.999680856001568	10
423	235.07119749023332	9.999674792769904	10
424	235.34896623447693	9.999668729426642	10
425	235.62673481029435	9.999662665971778	10
426	235.90450321768245	9.999656602405317	10
427	236.18227145663815	9.999650538727256	10
428	236.46003952715836	9.999644474937595	10
429	236.73780742923995	9.999638411036337	10
430	237.01557516287986	9.999632347023477	10
431	237.29334272807495	9.999626282899017	10
432	237.57111012482216	9.999620218663708	10
433	237.84887735311838	9.999614154326641	10
434	238.1266444129608	9.999608089896917	10
435	238.4044113043468	9.99960202538363	10
436	238.68217802727412	9.999595960795883	10
437	238.95994458174067	9.999589896142771	10
438	239.23771096774465	9.999583831433391	10
439	239.51547718528445	9.999577766676838	10
440	239.7932432343588	9.999571701882216	10
441	240.07100911496664	9.999565636999451	10
442	240.34877482710553	9.999539693858267	10
443	240.6265398186016	9.999513750638462	10
444	240.90430408945267	9.999487807378951	10
445	241.18206763965765	9.99946186411865	10
446	241.45983046921648	9.999510117752653	10
447	241.73759463915405	9.99955836850204	10
448	242.01536014939023	9.99960660894936	10
449	242.29312699963882	9.99965476076523	10
450	242.57089518743786	9.999702753370743	10
451	242.84866470836482	9.999749730587238	10
452	243.12643553421447	9.99979379713225	10
453	243.4042075841348	9.9998313715589	10
454	243.68198067778923	9.999865337740728	10
455	243.9597547149487	9.999895036427507	10
456	244.23752957707168	9.99992024200004	10
457	244.51530513934946	9.999940729223521	10
458	244.79308127071678	9.999957394708982	10
459	245.07085786501426	9.99997192635067	10
460	245.34863486296845	9.999982094487516	10
461	245.62641214337089	9.999988167097259	10
462	245.90418959245693	9.999991658562195	10
463	246.1819671385281	9.999994449179244	10
464	246.45974476211643	9.999996558438102	10
465	246.73752244429525	9.999997984141235	10
466	247.01530016607694	9.999998837476051	10
467	247.2930779115624	9.999999183910708	10
468	247.57085566667104	9.999999044213883	10
469	247.8486334178992	9.999998442777636	10
470	248.12641115242081	9.999997406616899	10
471	248.40418885816018	9.999995963498538	10
472	248.68196652381292	9.999994182082649	10
473	248.9597441399819	9.999992080972556	10
474	249.2375216977867	9.999989677360928	10
475	249.51529918882449	9.999986988167153	10
476	249.79307660516247	9.999984029838004	10
477	250.07085393932465	9.999980818029755	10
478	250.34863118426992	9.999977367624789	10
479	250.62640833337062	9.999973692734281	10
480	250.90418538039103	9.999969806935404	10
481	251.18196231947258	9.999965723055588	10
482	251.45973914511302	9.999961453462168	10
483	251.73751585215365	9.999957009862205	10
484	252.01529243576093	9.999952403557314	10
485	252.2930688914153	9.999947645507405	10
486	252.5708452149016	9.99994274689256	10
487	252.84862140231527	9.99993771831418	10
488	253.12639745004623	9.999932569733613	10
489	253.40417335476104	9.999927310508607	10
490	253.68194911338628	9.999921949405223	10
491	253.959724723092	9.999916494607323	10
492	254.23750018127552	9.999910953738624	10
493	254.51527548554603	9.999905339575804	10
494	254.79305063386758	9.999899658398915	10
495	255.07082562437867	9.999893916003556	10
496	255.34860045537877	9.999888117713395	10
497	255.62637512531526	9.99988229783848	10
498	255.90414963358856	9.999876459048961	10
499	256.18192397967323	9.999870603735083	10
500	256.4596981631103	9.999864734031375	10
501	256.7374721835001	9.99985885183908	10
502	257.0152460404956	9.999852958838872	10
503	257.29301973379665	9.99984705651912	10
504	257.5707932631444	9.999841146194743	10
505	257.8485666283165	9.999835229023576	10
